# Author: Squire, M. & Gazda, R.
# License: Open Database License 1.0
# This data momHicss2015.tsv is made available under the 
# Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. 
# Any rights in individual contents of the database are licensed under the 
# Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/ 
#
# filename: momHicss2015.tsv
# explanation: 
# This data set is part of a larger group of data sets
# described in the paper below, and hosted on the FLOSSmole.org site. 
#
# fields:
# group: this is the software project
# medium: this is the type of communication artifact (irc or email)
# date: 
# sl_speaker: chatter who uttered the setup line / straight line (if any)
# straight line: the line that prompted the mom joke
# mom_speaker: chatter who uttered the mom joke
# mom_joke: the line that includes the mom joke
# coder: the person who coded these responses and setup lines
#
# Please cite the paper and FLOSSmole as follows:
#
# Citations:
# Squire, M. & Gazda, R. (2015). FLOSS as a source for profanity 
# and insults: Collecting the data. In Proceedings of 48th 
# Hawai'i International Conference on System 
# Sciences (HICSS-48). IEEE. Hawaii, USA. 5290-5298.
#
# Howison, J., Conklin, M., & Crowston, K. (2006). FLOSSmole: A 
# collaborative repository for FLOSS research data and analyses. 
# International Journal of Information Technology and Web 
# Engineering, 1(3), 17–26.
# 
group	medium	date	sl_speaker	straight line	mom_speaker	mom_joke	coder
wordpress	irc	2/11/2010	WDS-Brad	what gravatar?	jdingman	WDS-Brad: it's a picture of your mom :)	rg
wordpress	irc	7/19/2010	chaos`	Kawauso: im disappointed at your face	Kawauso	chaos`: im disappointed with your mother	rg
wordpress	irc	9/4/2010	sivel	this is becoming tiresome	benkramer	so was doing your mom last night sivel, stfu	rg
wordpress	irc	9/20/2010	Anomie21	an array murdered my father :(	Kawauso	did a string murder your mother?	rg
wordpress	irc	9/21/2010	mylisto	what gave it away?	Figaroo	your mom	rg
wordpress	irc	9/27/2010			w3prodigy	ansimation: long time listener, first time caller - i'm trying to loop through your mom but it says memory limit exceeded :D	ms
wordpress	irc	10/12/2010	zodiac	your privacy means nothing to us, we'll sell all of your information to the highest bidder..	Jason[Groupon]	zodiac - we own you, we will sell all your data, steal your credit card numbers, and have relations with your mother. There is no recourse and visiting this site opts you into this, thank you and have a terrible day.	rg
wordpress	irc	10/20/2010	Ghost1227	i get paid so little i owe the company money :P	mTk-Away	I get paid so little your mom ha... wait a minute... wrong joke.	rg
wordpress	irc	12/30/2010	tw2113	now...to offend opx	tw2113	yo momma.....no too amateur	rg
wordpress	irc	1/3/2011	tw2113	i know, i get to go home and you don't	sha1sum	tw2113: yeah well at least I get to stay at your mom's tonight	rg
wordpress	irc	1/6/2011	wyck	you don't need php you can use ajax	tw2113	php/ajax/your mother's kitchen sink	rg
wordpress	irc	1/14/2011			AndreaRu	I honestly haven't run across people that stupid since the late 90s when I was supporting loan officers. Generally, even the stay at home mom crowd isn't THAT stupid anymore. Where are you finding these people? Are they real estate agents? They're still pretty stupid.	ms
wordpress	irc	1/14/2011	John_______	wordpress still sucks	tw2113	funny john, satan said the same thing of your mom	rg
wordpress	irc	1/28/2011	dwebb	i am drinking a delicious Waialua Cream Soda	Jester831	I'm drinking your mom ;o	rg
wordpress	irc	1/30/2011	tw2113	i could use a number of things but MrDudle isn't the person for them	tw2113	what's your mom's #?	rg
wordpress	irc	1/31/2011			brotozoan	mysql docs have you give CRAZY permissions to wordpress by default, like, enough that it's allowed to take your sister out to a nice dinner and never call her back	ms
wordpress	irc	2/1/2011	tw2113	you can target it by ID, slug, pretty name	sholmes	does your mom have a pretty name?	megan
wordpress	irc	2/13/2011	kac	ive reverse engineered a lot of encryptions	WWSD	kac I reverse engineerd your mum	rg
wordpress	irc	3/31/2011	dwebb	Jester831âˆ™ you ever eaten anything harsh? i've eaten worms, bugs, squirrel, things like that..	Jester831	your mother	rg
wordpress	irc	4/4/2011	whatdidido	im a nice guy i didnt do anything wrong!	whatdidido	your mom thinks im awesome!	rg
wordpress	irc	4/7/2011	triplesec	i love the "i'll insult your mom who i've never met and make you all mad and stuff" people...	sha1sum	in all honesty I did make this beef stew I'm eating right now which 0wnz your mom's vag	rg
wordpress	irc	5/6/2011	nviror	even IIS is faster.	tw2113	so is your mom	rg
wordpress	irc	6/2/2011	pitchfork	who cares, it can't be solved here.	tw2113	your mother	rg
wordpress	irc	9/12/2011	fris	apis are so 90s	tw2113	so is your mom fris	rg
wordpress	irc	9/23/2011	tw2113	put them in a nutsack first though	danmichel	like your aunt sally did last night	megan
wordpress	irc	12/22/2011	pixolin	who babies the user now?	Comet	your mom?	rg
wordpress	irc	1/24/2012	tw2113	i recall seeing it in the theaters with my mom	finkle	maybe your mom was a finkle fan	megan
wordpress	irc	2/13/2012			milleja46	ShawnRisk: neither does my mom's besides some pictures and whatever else you can expect on the normal everyday mothers computer that doesn't use it that much....	ms
wordpress	irc	2/14/2012	wycks	tw2113 lol I actually did by a camera the other day	tw2113	any clients yet? besides your mom holding a rose?	rg
wordpress	irc	2/20/2012			scar2	did dreamhost break in and rape your mom or something? lol	ms
wordpress	irc	4/19/2012	MadLems1	tw2113: then what'd you do????	tw2113	<scottish> i screwed your mother, trebek </scottish>	rg
wordpress	irc	5/3/2012	tw2113	they're not people though	tra	yeah, like your mother	rg
wordpress	irc	7/1/2012	Salacious	Mariaa, your markup is probably broken	johnpbloch	your mom's markup goes to college...	rg
wordpress	irc	7/7/2012	tw2113	blah blah child theme ALL THE THEMES	blobaugh	tw2113: i childed your mom	rg
wordpress	irc	7/24/2012	c3mdigital	which one of you guys broke pingdom?	tw2113	your mom	rg
wordpress	irc	8/9/2012			LindsayMac	yen_: just don't use ANY words that a mom wouldn't want you saying in front of a 5 year old	ms
wordpress	irc	8/18/2012	bytephilia	Ox1 IS ?? lol	bytephilia	Ox1 IS ?? lol	megan
wordpress	irc	8/18/2012	bytephilia	Ox1 IS ?? lol	Ox1	bytephilia its your dad multiplied with your mom	megan
wordpress	irc	8/18/2012	Ox1	and your mom is a 1	Ox1	which makes your mom something	megan
wordpress	irc	11/16/2012	JFranks	Can you get a girl to go on a 2nd date?	ccm84	I'm not asking your mom on a second date. Tell her to stop calling and respect hte restraining order.	rg
wordpress	irc	12/22/2012	JAZ	gbili can you tell me what code to add and where please.	gbili	JAZ i'm not your mom, have a look at what i told you. wp-content/themes/_s/functions.php	rg
wordpress	irc	12/29/2012	jeff_sebring	all arch all the time	tw2113	jeff_sebring, reason my mom is more awesome than your mom #1531	rg
wordpress	irc	12/29/2012	Hfuy	I've just been accused of being "some sort of hacker" for knowing how to specify colours as a hex triplet.	LindsayMac	by who? your mom?	rg
wordpress	irc	12/29/2012	Hfuy	Yes. That's why I mentioned it.	LindsayMac	Hfuy: hence my question... if it was your mom that said that	ms
wordpress	irc	12/29/2012	LindsayMac	Hfuy: hence my question... if it was your mom that said that	LindsayMac	unless your mom is some well known hacker, that is a funny joke..	ms
wordpress	irc	1/5/2013	tw2113	onceler, while i check on something: http://michaelbox.net/2012/12/wordpress-action-and-filter-hooks-described-so-your-mom-can-understand/	pixolin	tw2113: you describe hooks to your mom? that sounds ... nerdish ;)	rg
wordpress	irc	2/3/2013	pixolin	did I ever say I know php or what?	Zeeflo	your mom told me!	rg
wordpress	irc	2/21/2013	pixolin	this doc-bot command is mainly thought to ask you to be more verbose than just telling "doenstwork".	pixolin	that's like teaching your mum how to use the internet, she calls and says she gets an error message, you ask where and she tells you "on the screen, dummy!"	rg
wordpress	irc	4/15/2013	LindsayMac	trolling? I posted you an exact answer to your centering problem	tabeaux	LindsayMac: Good for you, I'll ask your mom to hang it on the fridge	rg
wordpress	irc	9/2/2013	tw2113	too much regulation in making a porn site	laekrits	and what would you tell your mom?	rg
wordpress	irc	10/10/2013	Clorith	you guys? Did you jsut call me low cost :o	PeterBooker	Your mum didn't complain about my cost!	rg
wordpress	irc	10/18/2013	redner	anyone wanna help me code a custom full width section shortcode	tw2113	shortcodes insulted your mother, they called her fat	rg
wordpress	irc	12/21/2013	SeksiCKret	what hookers and blow where?	nkuttler	SeksiCKret: at your mom's	rg
wordpresss-ui	irc	9/18/2013	helen	wonderboymusic: i only do this because we're besties.	wonderboymusic	helen: I am besties with your mom	ms
